"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3yUNSNlU0h7ag5DTABjr2a","Sometimes","spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Crush","spotify:album:6hvSnbuh5dAzYqO87FZHWY","Crush on You","spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Crush","2014-06-05","https://i.scdn.co/image/ab67616d0000b2736543cdb71d36844b9fc8f224","1","11","263644","https://p.scdn.co/mp3-preview/d7fc0bad6862a028d8a4c008f27bc85e94684588?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","KRA381207769","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:18:49Z"
"spotify:track:18rxYVdlKgiVG3tCBVIsI3","Bittersweet","spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Crush","spotify:album:7aZr4nLYyiFx9WUrV2q4PX","Bittersweet","spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Crush","2018-05-03","https://i.scdn.co/image/ab67616d0000b2732079c4534c5393c710c4dadd","1","1","237411","https://p.scdn.co/mp3-preview/14e6a8d34356fe94bcd777f65fce1eb1379cd299?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","KRB141800010","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:19:40Z"
"spotify:track:7fF6u8BlXiA3bJKDuJMKRR","I Wanna Be Yours","spotify:artist:1W7FNibLa0O0b572tB2w7t, spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Pink Sweat$, Crush","spotify:album:4OyXl2VWIP5hzOMog09KcK","I Wanna Be Yours","spotify:artist:1W7FNibLa0O0b572tB2w7t, spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Pink Sweat$, Crush","2019-10-31","https://i.scdn.co/image/ab67616d0000b273187c295c0b79eab6eb068d55","1","1","192858","https://p.scdn.co/mp3-preview/3c7f9e4675df73e3d4ea07eee6fac6235b4aa6c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USAT21906328","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:21:23Z"
"spotify:track:2cViIXIe8Pbd1sOJExMJlK","Cemetery Drive","spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb","My Chemical Romance","spotify:album:3DuiGV3J09SUhvp8gqNx8h","Three Cheers for Sweet Revenge","spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb","My Chemical Romance","2004-06-08","https://i.scdn.co/image/ab67616d0000b273cab7ae4868e9f9ce6bdfdf43","1","12","188066","https://p.scdn.co/mp3-preview/b267533bd6cb18dd6f853ac4978259ef7093e799?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USRE10400667","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:21:28Z"
"spotify:track:1stfw37zfV1Pb3vp8GJnlw","Né Djarabi","spotify:artist:1TpC5csNvHxuscI0ySfqNJ","Terrakota","spotify:album:1LaX7IjISdbrbGNXhrnco2","World Massala","spotify:artist:1TpC5csNvHxuscI0ySfqNJ","Terrakota","2010-10-25","https://i.scdn.co/image/ab67616d0000b273007f57a74409759e847afc26","1","6","284586","https://p.scdn.co/mp3-preview/c04f69fc31e835f205bc6a0365ed5df38bc0ad10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","ES7181030506","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:21:38Z"
"spotify:track:0KyAGiNGUytG5JLxJu4F6l","Pretty Girl","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Clairo","spotify:album:3nkwKrSQJ9l84VV8uuymk9","Pretty Girl","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Clairo","2017-08-04","https://i.scdn.co/image/ab67616d0000b273efe812ae54f0698a32ccae14","1","1","178352","","false","72","TCADF1795049","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:21:42Z"
"spotify:track:47IWLfIKOKhFnz1FUEUIkE","A Boy Brushed Red Living In Black And White","spotify:artist:3GzWhE2xadJiW8MqRKIVSK","Underoath","spotify:album:5GeXnKDk6sD6RnkPVwFi19","They're Only Chasing Safety","spotify:artist:3GzWhE2xadJiW8MqRKIVSK","Underoath","2004-01-01","https://i.scdn.co/image/ab67616d0000b273c05f1b9f41f21afa225ce2ae","1","2","268000","","false","60","USTN10422712","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:22:03Z"
"spotify:track:15jo3iJchRzIydGgQMunIB","Seduction","spotify:artist:1fnDlUNi67FQtHHqBl4Yfg","Alesana","spotify:album:1V4KMEvTOG8E9h2uLYepO0","Where Myth Fades To Legend","spotify:artist:1fnDlUNi67FQtHHqBl4Yfg","Alesana","2008-01-01","https://i.scdn.co/image/ab67616d0000b27378da5973d56f99778b486127","1","3","285506","","false","43","US5260811003","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:23:22Z"
"spotify:track:2PDgArI0p7UkeYgXWuqpmh","Last Last","spotify:artist:3wcj11K77LjEY1PkEazffa","Burna Boy","spotify:album:6aWJgsbvVPQR2HgPztf4qe","Last Last","spotify:artist:3wcj11K77LjEY1PkEazffa","Burna Boy","2022-05-12","https://i.scdn.co/image/ab67616d0000b273f033826fb41663e2a16c05a3","1","1","172342","https://p.scdn.co/mp3-preview/2424ab80f615e8dab8667ce4a30bbba09701d647?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","USAT22204901","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:24:54Z"
"spotify:track:2tnk7NUXUCcX326HqfokB6","Bipolar Baby!","spotify:artist:4frytKnOBrer4QVPWynGtX","Forever The Sickest Kids","spotify:album:5AFk2hvCARiSHCr3A1l9j2","Forever The Sickest Kids","spotify:artist:4frytKnOBrer4QVPWynGtX","Forever The Sickest Kids","2011","https://i.scdn.co/image/ab67616d0000b2737edb0a320b74b5f0d906e68f","1","8","191213","","false","46","USUM71101370","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:24:58Z"
"spotify:track:1Fvf8AO4GWwjLU12Im0s0q","Bang The Doldrums","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","spotify:album:0hHopYqXhuvYSHtVyrcb1g","Infinity On High","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","2007-01-01","https://i.scdn.co/image/ab67616d0000b273da071ae7564949fbbfc6904d","1","11","211333","","false","53","USUM70700333","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:25:04Z"
"spotify:track:1S8cT0r8G3q7xQBDX1DBwl","3 AM","spotify:artist:4ZIBrskTJWmkJUvM7uAu1o","Chiodos","spotify:album:3VYqcMVkpPlUwoAaRjCO0y","Devil","spotify:artist:4ZIBrskTJWmkJUvM7uAu1o","Chiodos","2014-04-01","https://i.scdn.co/image/ab67616d0000b273b2957a2f3b7e99a46d68553b","1","5","215373","","false","43","USRZR1447105","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-29T14:55:49Z"
"spotify:track:20Fh7atcBvxOwVmmBhen9Q","Clush","spotify:artist:6dHr8Y0nPrnHiBOuJzuu8F","Isles & Glaciers","spotify:album:0NMxCRPdsRGiwxHc8Ly0vR","The Hearts of Lonely People","spotify:artist:6dHr8Y0nPrnHiBOuJzuu8F","Isles & Glaciers","2010-03-09","https://i.scdn.co/image/ab67616d0000b273fe96fa1d54d59f3adf4edc76","1","3","250413","https://p.scdn.co/mp3-preview/771fdd2cf198436e4d11f7e88d4c3df93c6ebf4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","US3X51017103","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-30T22:59:34Z"
"spotify:track:3soK40VuGFJaqY5BeHG5c6","A Lunatic’s Lament","spotify:artist:1fnDlUNi67FQtHHqBl4Yfg","Alesana","spotify:album:4HOobzcnXNTNaKxP2MIBrg","The Emptiness","spotify:artist:1fnDlUNi67FQtHHqBl4Yfg","Alesana","2010-01-01","https://i.scdn.co/image/ab67616d0000b273b61c7c28b7e29515c3d0a257","1","3","244800","","false","39","US5261013303","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-08-01T22:53:28Z"
"spotify:track:21hbZ0yllYOoXEbiFDYMSI","18","spotify:artist:09J4zbHHwNNlN2tfgJIg21","Anarbor","spotify:album:1G2wZ64g38gD8q3e4XMzdH","Burnout (Deluxe Version)","spotify:artist:09J4zbHHwNNlN2tfgJIg21","Anarbor","2013-06-04","https://i.scdn.co/image/ab67616d0000b273e626d8740c283d5aaed3141c","1","3","157360","https://p.scdn.co/mp3-preview/32cdea285b41343b908321a23873cbbf0f8c9f7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USHR21254004","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-08-08T14:22:09Z"
"spotify:track:35yuAaaJb2EMgSSD5Q8ou6","Danza Brasilera","spotify:artist:3PCmED1ckvLHpYTJ8VuX7N, spotify:artist:6LMRNEtnVqJYsGaT4xJ6zr","Jorge Morel, Celil Refik Kaya","spotify:album:7srTjOmI697KQBqT9NOwiP","Morel: Guitar Music","spotify:artist:3PCmED1ckvLHpYTJ8VuX7N, spotify:artist:6LMRNEtnVqJYsGaT4xJ6zr","Jorge Morel, Celil Refik Kaya","2016-11-11","https://i.scdn.co/image/ab67616d0000b273eb8a98e9fb21c19e00095b87","1","1","159186","https://p.scdn.co/mp3-preview/526a6eff4c160e8816508b19f8776bf2c0071702?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","HKI191601501","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-08-17T02:13:07Z"
"spotify:track:5cl7JxnElrNMqm0suAitBe","Joy","spotify:artist:0OTbmw4nbgWHiTyqhmz72s","John Roseboro","spotify:album:1S1N1ihx2NsnRI4yfWksSE","Human Nature","spotify:artist:0OTbmw4nbgWHiTyqhmz72s","John Roseboro","2021-11-19","https://i.scdn.co/image/ab67616d0000b273c89b3f6ec934b580e5beb71d","1","5","133547","https://p.scdn.co/mp3-preview/d135cc19ef63ddea74051e1521de15cec1f5c3fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZNWT2157301","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-08-31T21:08:14Z"
"spotify:track:2OdyPGx5yrVr69kR5H0HoV","Mercury","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:4tRInpsZkScWnp3UWcdLTq","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-14","https://i.scdn.co/image/ab67616d0000b2735cc2b8beee1bae039987f2d2","1","3","295413","https://p.scdn.co/mp3-preview/604b104ecb922be832fa77a4b477922a998fdcee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USRC12203022","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-08-31T21:08:26Z"
"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Bad Habit","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:3Ks0eeH0GWpY4AU20D5HPD","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-15","https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee","1","5","232066","https://p.scdn.co/mp3-preview/efe7c2fdd8fa727a108a1270b114ebedabfd766c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USRC12201440","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-08-31T21:09:36Z"
"spotify:track:0EwfAdBab8DRcDCC1RKhMY","Fame < Infamy","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","spotify:album:0hHopYqXhuvYSHtVyrcb1g","Infinity On High","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","2007-01-01","https://i.scdn.co/image/ab67616d0000b273da071ae7564949fbbfc6904d","1","12","186026","","false","48","USUM70700334","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-09-03T15:09:27Z"
"spotify:track:37y7iDayfwm3WXn5BiAoRk","Dark Red","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:5fvUFzgVEni3L7769OabqQ","Dark Red","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2017-02-20","https://i.scdn.co/image/ab67616d0000b273263886a4992c39704c601409","1","1","173104","https://p.scdn.co/mp3-preview/90b3855fd50a4c4878a2d5117ebe73f658a97285?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","GBKPL1778015","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-09-10T04:53:40Z"
"spotify:track:5Zt86CL16kbPvuwcmHMEg8","GAM3 BO1","spotify:artist:7nqOGRxlXj7N2JYbgNEjYH","SEVENTEEN","spotify:album:79VvXTQNeLr8KmvcdxN0Pc","SEVENTEEN 8th Mini Album 'Your Choice'","spotify:artist:7nqOGRxlXj7N2JYbgNEjYH","SEVENTEEN","2021-06-18","https://i.scdn.co/image/ab67616d0000b273c1a20972c9a083d5cece9ce5","1","4","189680","https://p.scdn.co/mp3-preview/15d3f82a9fa490539da74b44e96c2157d25b0e34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USA2P2119795","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-09-12T15:26:38Z"
"spotify:track:01jZKFyNcPRUP2gX9zxScj","fall","spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Crush","spotify:album:2pgzGj9PQ4nhc1l3NBlATj","wonderlust","spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Crush","2016-10-14","https://i.scdn.co/image/ab67616d0000b273370c146e259dc6aa851d681c","1","4","231571","https://p.scdn.co/mp3-preview/723804e55c027af785e67d0fce47088993e99271?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","KRA381602012","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-09-12T15:26:56Z"
"spotify:track:1enx9LPZrXxaVVBxas5rRm","Ordinary Love","spotify:artist:0hT0UrjmzkLJouAT52ck6j, spotify:artist:6tvrEIVX5eKJlipdzt11wi","Park Kyung, Park Boram","spotify:album:6nI5vvp4jsLHC9M55PTqDE","Ordinary Love","spotify:artist:0hT0UrjmzkLJouAT52ck6j","Park Kyung","2015-09-21","https://i.scdn.co/image/ab67616d0000b273201eb0a8f7bf25947f08ae74","1","1","232866","https://p.scdn.co/mp3-preview/72bc2d7f1743fd6f2d6ddbf1617b098f2227ecc0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","KRC491500001","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-11-12T23:17:47Z"
"spotify:track:3gVbD5APaL2N4yDWM5YWiQ","5월의 밤 (May)","spotify:artist:5HenzRvMtSrgtvU16XAoby","Zion.T","spotify:album:3NoWa3yoV4h6TvKYB1Ggfi","5월의 밤 (May)","spotify:artist:5HenzRvMtSrgtvU16XAoby","Zion.T","2019-11-06","https://i.scdn.co/image/ab67616d0000b273785ca69491d0b84364aebc09","1","1","196881","https://p.scdn.co/mp3-preview/1dda7078bb319992737c29dcfd7b6af86c8a38cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","KRA401900241","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-11-12T23:17:56Z"
"spotify:track:1SCJh0eUMRLsm9xKEb6W2z","The Artist","spotify:artist:1fnDlUNi67FQtHHqBl4Yfg","Alesana","spotify:album:4HOobzcnXNTNaKxP2MIBrg","The Emptiness","spotify:artist:1fnDlUNi67FQtHHqBl4Yfg","Alesana","2010-01-01","https://i.scdn.co/image/ab67616d0000b273b61c7c28b7e29515c3d0a257","1","2","226240","","false","40","US5261013302","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-11-12T23:18:07Z"
