"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:40riOy7x9W7GXjyGp4pjAv","Hotel California - 2013 Remaster","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","spotify:album:2widuo17g5CEC66IbzveRu","Hotel California (2013 Remaster)","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","1976-12-08","https://i.scdn.co/image/ab67616d0000b2734637341b9f507521afa9a778","1","1","391376","https://p.scdn.co/mp3-preview/6fedc11d0f55bef176cc1c5725ac1c57f9a2534a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USEE11300353","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:21:00Z"
"spotify:track:0a7BloCiNzLDD9qSQHh5m7","Dance, Dance","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","spotify:album:5nkUSlIhtoJZMOUlB0sNCp","From Under The Cork Tree","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","2005-05-03","https://i.scdn.co/image/ab67616d0000b27371565eda831124be86c603d5","1","3","180266","","false","77","USDJ20500174","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:32:43Z"
"spotify:track:68vgtRHr7iZHpzGpon6Jlo","My Boo","spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:3DiDSECUqqY1AuBP8qtaIa","USHER, Alicia Keys","spotify:album:1RM6MGv6bcl6NrAG8PGoZk","Confessions (Expanded Edition)","spotify:artist:23zg3TcAtWQy7J6upgbUnj","USHER","2004-03-23","https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da","1","18","223440","https://p.scdn.co/mp3-preview/5391dafc63896270994d13c5fc501da0d149ef49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USAR10400887","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:52:04Z"
"spotify:track:745H5CctFr12Mo7cqa1BMH","My Girl","spotify:artist:3RwQ26hR2tJtA8F9p2n7jG","The Temptations","spotify:album:45tweuKI0zdh8zgKo05cTw","The Temptations Sing Smokey","spotify:artist:3RwQ26hR2tJtA8F9p2n7jG","The Temptations","1965-03-22","https://i.scdn.co/image/ab67616d0000b2731a5b6271ae1c8497df20916e","1","3","165000","","false","82","USMO16490001","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:52:15Z"
"spotify:track:03ZtlmARAMWhAgZSIs6Fes","One In A Million","spotify:artist:21E3waRsmPlU7jZsS13rcj","Ne-Yo","spotify:album:2qqB7RaEdn2Lkte4St3Ban","Libra Scale","spotify:artist:21E3waRsmPlU7jZsS13rcj","Ne-Yo","2010-01-01","https://i.scdn.co/image/ab67616d0000b2731d0db9c6c27ffedce6466df8","1","6","243226","","false","65","USUM71016538","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:52:22Z"
"spotify:track:1sjmKmR4u9xDeJHjDCn2bZ","Penny Lane","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:1ntNLgaYCFCkeW4flGYlY2","Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1967-05-26","https://i.scdn.co/image/ab67616d0000b273c92b57b8307e5999ec2fed69","4","15","182053","","false","52","GBAYE6700028","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:52:30Z"
"spotify:track:4cgjA7B4fJBHyB9Ya2bu0t","Human Nature","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:2ANVost0y2y52ema1E9xAZ","Thriller","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","1982-11-30","https://i.scdn.co/image/ab67616d0000b273de437d960dda1ac0a3586d97","1","7","246040","https://p.scdn.co/mp3-preview/5dcd71f758ba4dc61666271dca0fbc1e0caa9c13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USSM19902992","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:54:49Z"
"spotify:track:1HibhNhwk2tljwC4BGGLXV","I Can't Help It","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:2ZytN2cY4Zjrr9ukb2rqTP","Off the Wall","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","1979-08-10","https://i.scdn.co/image/ab67616d0000b2737027294551db4fda68b5ddac","1","8","269333","https://p.scdn.co/mp3-preview/cba7cb1ef854ad734819f8e2c56c21ed26e54574?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USSM17900823","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:54:54Z"
"spotify:track:0j55p8YRAPG8yajtNyjt6A","Hold You - Hold Yuh","spotify:artist:2JX4h8xm0hNxCB0aNBWzyi","Gyptian","spotify:album:3Oi5j0kqicMfqW51jqrsfe","Hold You","spotify:artist:2JX4h8xm0hNxCB0aNBWzyi","Gyptian","2010-07-16","https://i.scdn.co/image/ab67616d0000b27371e2c95899bef34f31c739b2","1","5","233253","https://p.scdn.co/mp3-preview/02ca0755fe2c09539beed74bde2f35b0ec139e7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USVPR0910204","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:57:25Z"
"spotify:track:2OSfEYKhlSsLx6vn4O75RK","I Want You Back","spotify:artist:2iE18Oxc8YSumAU232n4rW","The Jackson 5","spotify:album:7ioDs7ZLvqeYLD1SVFeWci","Greatest Hits","spotify:artist:2iE18Oxc8YSumAU232n4rW","The Jackson 5","1971-01-01","https://i.scdn.co/image/ab67616d0000b273b5c7655529a7102aece0de36","1","1","178493","","false","58","USMO19400306","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-07-21T04:57:50Z"
