"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:34oWbFBfGEElvgO0a5c9V4","No Flockin'","spotify:artist:46SHBwWsqBkxI7EeeBEQG7","Kodak Black","spotify:album:12YTH28wiBXQ16gvWOCMLU","No Flockin'","spotify:artist:46SHBwWsqBkxI7EeeBEQG7","Kodak Black","2015-11-13","https://i.scdn.co/image/ab67616d0000b27318f77961dfb9d67895bd9ddb","1","1","165290","https://p.scdn.co/mp3-preview/cce2da7f051dc07a53b988234a0388cd1377fd40?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USAT21503800","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-13T04:30:09Z"
"spotify:track:7iaw359G2XT14uTfV9feip","Lockjaw (feat. Kodak Black)","spotify:artist:6vXTefBL93Dj5IqAWq6OTv, spotify:artist:46SHBwWsqBkxI7EeeBEQG7","French Montana, Kodak Black","spotify:album:7sSW3tQBtQrO7f6uO4Bcxq","Lockjaw (feat. Kodak Black)","spotify:artist:6vXTefBL93Dj5IqAWq6OTv","French Montana","2016-05-27","https://i.scdn.co/image/ab67616d0000b273c950feff4be3d63856af3269","1","1","223146","https://p.scdn.co/mp3-preview/454fc6f63598c92c5617178f4aca2198af67d9e3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","USSM11604264","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-08-16T20:38:16Z"
"spotify:track:5lLuArl5DPSd0pYVl9KOWD","There He Go","spotify:artist:46SHBwWsqBkxI7EeeBEQG7","Kodak Black","spotify:album:61W2cVhbXDPwHYsLAXYZxI","There He Go","spotify:artist:46SHBwWsqBkxI7EeeBEQG7","Kodak Black","2016-12-23","https://i.scdn.co/image/ab67616d0000b27327a7f858150c9e23157148f5","1","1","196571","https://p.scdn.co/mp3-preview/85c8224b490312db984a57bfd8802e30fce3bb12?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","USUYG1124861","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-08-16T20:40:23Z"
"spotify:track:1F1QmI8TMHir9SUFrooq5F","Buff Baby","spotify:artist:4T8NIfZmVY6TJFqVzN6X49","tobi lou","spotify:album:1JjGKMycjULPogQw8YnDpS","tobi lou and the Loop","spotify:artist:4T8NIfZmVY6TJFqVzN6X49","tobi lou","2018-04-27","https://i.scdn.co/image/ab67616d0000b2731db3772149d929264a517e16","1","2","215384","https://p.scdn.co/mp3-preview/ca87a03a8cd0088c7165a63238196f2da0994714?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","USUYG1194990","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-08-22T02:39:50Z"
"spotify:track:16bHRxM89ue0TiCKARYbRp","Sorry Not Sorry","spotify:artist:2EMAnMvWE2eb56ToJVfCWs","Bryson Tiller","spotify:album:6eZdwrhB97A3EYx9QppGfl","T R A P S O U L","spotify:artist:2EMAnMvWE2eb56ToJVfCWs","Bryson Tiller","2015-10-02","https://i.scdn.co/image/ab67616d0000b273d5f3cea8affdca01a0dc754f","1","11","200760","https://p.scdn.co/mp3-preview/7d832507571967e1c5c1ca3de5dd7ae7d5e3ea4b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USRC11502078","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-09-20T19:24:49Z"
"spotify:track:5Z8HZM6iQMhhqyPcCGY5g9","Hot (feat. Gunna)","spotify:artist:50co4Is1HCEo8bhOyUWKpn, spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ","Young Thug, Gunna","spotify:album:1bnHPO4dKK7IjvgrtVBcQh","So Much Fun","spotify:artist:50co4Is1HCEo8bhOyUWKpn","Young Thug","2019-08-16","https://i.scdn.co/image/ab67616d0000b2736fcd1b6e205d0d19d9efa0cc","1","4","193026","https://p.scdn.co/mp3-preview/950d342474c987475e98ef86a51ed95c0181e480?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USAT21904711","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-09-25T17:30:34Z"
"spotify:track:2v0W9sS9vWn5NLZ8MBtnlr","Suburban, Pt. 2","spotify:artist:4JhbRL6zaItAyzqx4gHTqz","22Gz","spotify:album:7b50jJTLmBIe4NVSJSAmXa","Suburban, Pt. 2","spotify:artist:4JhbRL6zaItAyzqx4gHTqz","22Gz","2019-11-29","https://i.scdn.co/image/ab67616d0000b27343ebe40ba515ca52007f749c","1","1","190746","https://p.scdn.co/mp3-preview/b6e0203476bcbd48598315f935abd8c5ab8c8da4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USAT21906721","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-12-19T00:41:14Z"
"spotify:track:79s5XnCN4TJKTVMSmOx8Ep","Dior","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke","spotify:album:6d1vGZsr6Uy3h9IigBpPAf","Meet The Woo","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke","2019-07-26","https://i.scdn.co/image/ab67616d0000b2738fe5d04b06aff90f9fe796f5","1","6","216386","","true","77","USUM71914275","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-12-27T00:29:31Z"
"spotify:track:6ede6Tky0YYKyUKqKuEpQf","Christopher Walking","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke","spotify:album:3dIV9auv2YbtvyAGaIEBn1","Christopher Walking","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke","2020-01-16","https://i.scdn.co/image/ab67616d0000b273912c1ca6418fab9ffa295898","1","1","191661","","true","42","USUM72000326","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-02-09T04:11:57Z"
"spotify:track:4B1HkmoPxGnIiovU1iy4IL","We Getting Money","spotify:artist:1tG7s7S4sq2eFFW0QZyLbm","Sheff G","spotify:album:3Xvvi8uwGnuj9nF7fr2h39","THE UNLUCCY LUCCY KID","spotify:artist:1tG7s7S4sq2eFFW0QZyLbm","Sheff G","2019-09-27","https://i.scdn.co/image/ab67616d0000b2737a3f9e329e52a897736ba6e7","1","7","181508","https://p.scdn.co/mp3-preview/56e8d0f7c698aa484fa6a4b15e7ef03060de85f5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USUYG1273314","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-02-28T16:57:38Z"
