"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:152lZdxL1OR0ZMW6KquMif","Location","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:6kf46HbnYCZzP6rjvQHYzg","American Teen","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2017-04-27","https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577","1","3","219080","https://p.scdn.co/mp3-preview/ed25b8c413329ab145c72c8bfce8b8558498299c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","TCACO1662934","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-05T23:33:59Z"
"spotify:track:5qHirGR7M9tdm6C17DlzSY","REEL IT IN","spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ","Aminé","spotify:album:4mwO9qIVmngSe7yR5Ios0I","ONEPOINTFIVE","spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ","Aminé","2018-08-15","https://i.scdn.co/image/ab67616d0000b273a52fb68f00620e45ed7467c5","1","3","121346","","true","68","USUM71811853","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-05T23:37:46Z"
"spotify:track:4EpZ4eYuZOwPSSwyqpdHnJ","Sunflower","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:1FhmTMNe8AziAPkB29114F","Sunflower","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-03-22","https://i.scdn.co/image/ab67616d0000b27315f4cfd072793fa7532e674a","1","1","252230","https://p.scdn.co/mp3-preview/27b6b4f595da7570041c61e553a2cb8ceb6c8417?cid=9950ac751e34487dbbe027c4fd7f8e99","true","2","US23A1500468","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-05T23:38:14Z"
"spotify:track:5TgEJ62DOzBpGxZ7WRsrqb","Work Song","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:4Pv7m8D82A1Xun7xNCKZjJ","Hozier (Expanded Edition)","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-09-19","https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2","1","9","229720","https://p.scdn.co/mp3-preview/4645ce3b1f238810c2e61a57a4b4ed4c2e78bd62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USSM11401475","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-05T23:38:25Z"
"spotify:track:745H5CctFr12Mo7cqa1BMH","My Girl","spotify:artist:3RwQ26hR2tJtA8F9p2n7jG","The Temptations","spotify:album:45tweuKI0zdh8zgKo05cTw","The Temptations Sing Smokey","spotify:artist:3RwQ26hR2tJtA8F9p2n7jG","The Temptations","1965-03-22","https://i.scdn.co/image/ab67616d0000b2731a5b6271ae1c8497df20916e","1","3","165000","","false","82","USMO16490001","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-06T00:06:20Z"
"spotify:track:3TB9KL7iUVd7N5ihzghGw4","Gymnopedie","spotify:artist:2zFkwocH9Ah8KpUzydbcrO","Richard Mollenbeck","spotify:album:1E5EqMSPzEnbaYbWnHIMCY","Classical Guitar for Study","spotify:artist:2zFkwocH9Ah8KpUzydbcrO","Richard Mollenbeck","2017-01-30","https://i.scdn.co/image/ab67616d0000b273673766ff7d7e9fe3166d303a","1","2","217877","https://p.scdn.co/mp3-preview/34d93ff27eb4e8cea64ac37624e6ef15ab6a909c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","SE5IB1600497","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-08T02:28:37Z"
"spotify:track:3gsCAGsWr6pUm1Vy7CPPob","Killing Me Softly With His Song","spotify:artist:0W498bDDNlJIrYMKXdpLHA","Roberta Flack","spotify:album:4GxrvKiysSiDU1HHifh1PA","Killing Me Softly","spotify:artist:0W498bDDNlJIrYMKXdpLHA","Roberta Flack","1973-01-01","https://i.scdn.co/image/ab67616d0000b2737ff730d1580c27bc461d0ccf","1","1","286920","https://p.scdn.co/mp3-preview/86f729251aeaa50bbbb8c022de6861091c0cb180?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USAT29901394","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-09T05:37:11Z"
"spotify:track:45yEy5WJywhJ3sDI28ajTm","Here Comes The Sun - Remastered","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:2Pqkn9Dq2DFtdfkKAeqgMd","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273f7c34e39bb746d7f41bc5519","1","7","185733","","false","0","GBAYE0601696","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-16T18:55:49Z"
"spotify:track:7dL8FCLzEaWC2A3qWQuz1q","What You Won't Do for Love","spotify:artist:4V4Z3qMCwYofWHtip6ePF6","Bobby Caldwell","spotify:album:6F5At9Oj2P7LwE8lCLJG2B","What You Won't Do for Love","spotify:artist:4V4Z3qMCwYofWHtip6ePF6","Bobby Caldwell","1991-10-10","https://i.scdn.co/image/ab67616d0000b2734cdcb447b4a8493ea5d0c7a4","1","6","286493","https://p.scdn.co/mp3-preview/506f4b71189caddd52150d8a7f4f0b1cfc23ef06?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USA370532331","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-16T19:12:18Z"
"spotify:track:6z1kLsntE7FuzKZHZWrXYN","instagram","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","spotify:album:1wW2yfORAbOEfn2Et1q687","instagram","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","2017-12-26","https://i.scdn.co/image/ab67616d0000b2734ee9dc60013d5648d0f23bcc","1","1","255728","","false","62","KRUM71700353","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-17T07:36:05Z"
