"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3PX5Hkkhh4da6Sntk3LwYo","커피를 마시고 Coffee - Reprise","spotify:artist:1dOMFM5wDNsENQQW0nl0K8","Urban Zakapa","spotify:album:7gUFQ9ulk9EbbSz8U52xTp","01","spotify:artist:1dOMFM5wDNsENQQW0nl0K8","Urban Zakapa","2011-05-17","https://i.scdn.co/image/ab67616d0000b273014fa950326773be715e087e","1","2","228773","","false","0","KRA531134002","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2021-08-08T13:14:40Z"
"spotify:track:4s5ctbQSdw859e9ozID4Hb","떠나간다","spotify:artist:1zVCbVIEKtjg4tRWqwixoY","Hwaii","spotify:album:4DxK41XWj7ExCwvExlywjB","티켓 두장 주세요","spotify:artist:1zVCbVIEKtjg4tRWqwixoY","Hwaii","2011-08-17","https://i.scdn.co/image/ab67616d0000b273b9ba8cadc8e36a145ea77248","1","8","211748","https://p.scdn.co/mp3-preview/234ffc7576db3bdd4ec52872720f4f2c47498ff6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371553358","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2021-08-08T13:14:53Z"
"spotify:track:1OfD8j8vYuAhzB12BtR5xu","Crush - Reprise Version","spotify:artist:1dOMFM5wDNsENQQW0nl0K8","Urban Zakapa","spotify:album:6czXSOxLLaB5NowmABPTdl","[01]","spotify:artist:1dOMFM5wDNsENQQW0nl0K8","Urban Zakapa","2011-05-17","https://i.scdn.co/image/ab67616d0000b273551907171a49c2a7f428873f","1","4","247092","https://p.scdn.co/mp3-preview/254b9c943c41c4b8de4df2388d46127634df8741?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRA531134004","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2021-08-08T13:15:10Z"
"spotify:track:5SZo3Grs3fmbPsHZzlLB6E","Belong in the Sun","spotify:artist:0jsnWH4QCKcAMpR7vEhh9u, spotify:artist:1aSwrSGBNGMLn9ymttfRkk","¿Téo?, Lido","spotify:album:5NhRAV4V8xcH0Wzj047C1g","¿Téo?","spotify:artist:0jsnWH4QCKcAMpR7vEhh9u","¿Téo?","2018-09-13","https://i.scdn.co/image/ab67616d0000b273c4502e79a78fdc8b5aaa718b","1","8","194000","https://p.scdn.co/mp3-preview/1ede476b2422beaa214674cb4d30dafe086c8800?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","TCADW1816806","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2021-08-08T13:15:21Z"
"spotify:track:4kYPnVuU1jFMmGhOstcKDN","장가갈 수 있을까 Can I Get Married?","spotify:artist:5F0ZKImhec2HLnFQzsl1CM","Coffeeboy","spotify:album:2t9Ir5PKx9L62Lpl3hpuJr","첫 번째 음악 로스팅 1st Music Roasting","spotify:artist:5F0ZKImhec2HLnFQzsl1CM","Coffeeboy","2011-07-14","https://i.scdn.co/image/ab67616d0000b27383e046c3383327d36cc23980","1","4","222306","https://p.scdn.co/mp3-preview/484ecf4f6350607282517a405cd753ebda92ac95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","KRA351507365","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2021-08-08T13:16:07Z"
"spotify:track:5gkB40BDQE1CvtXpF6fcPm","봄이 좋냐?? What The Spring??","spotify:artist:6zn0ihyAApAYV51zpXxdEp","10CM","spotify:album:0u4WFVJDJh5dbNYgOgbABY","봄이 좋냐?? What The Spring??","spotify:artist:6zn0ihyAApAYV51zpXxdEp","10CM","2016-04-01","https://i.scdn.co/image/ab67616d0000b273e37ee790006ba64aae2500b8","1","1","205751","https://p.scdn.co/mp3-preview/b13bf3f77317a78c55dfa0263907e0b2267045ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","UK6821400771","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2021-08-26T00:25:50Z"
"spotify:local:::Sway+it%2C+Hula+Girl:259","Sway it, Hula Girl","","","","","","","","","0","0","259000","","false","0","","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2021-08-28T21:03:02Z"
"spotify:track:0TAmnCzOtqRfvA38DDLTjj","Little Things","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:2sWX3HYnZjPZ9MrH6MFsBt","Take Me Home (Expanded Edition)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2012-11-12","https://i.scdn.co/image/ab67616d0000b2734e31e0d38b89b8fb239d4fbf","1","3","219040","https://p.scdn.co/mp3-preview/a36b78f428ddfffc060b7363bbbcccc1b49a355f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBHMU1200361","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2021-08-31T21:07:53Z"
"spotify:track:6KGxifBxTKSctCMqZoEI7R","Lady","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","spotify:album:2E0KVLcgonkLqwXvFIiDdy","Absence 'Side C'","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","2017-11-16","https://i.scdn.co/image/ab67616d0000b273ac6256c69feef767c4d07d8c","1","1","269680","https://p.scdn.co/mp3-preview/99f69e9be970321dc9829566776fb761eef40af5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRNAR1708582","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2021-09-28T02:25:40Z"
"spotify:track:1pz24zu5H9A0S1a2NKT4F0","SoulMate (feat. IU)","spotify:artist:4XpUIb8uuNlIWVKmgKZXC0, spotify:artist:3HqSLMAZ3g3d5poNaI7GOU","ZICO, IU","spotify:album:0aDnkPxX660ezxCWBcqzVo","SoulMate (feat. IU)","spotify:artist:4XpUIb8uuNlIWVKmgKZXC0","ZICO","2018-07-30","https://i.scdn.co/image/ab67616d0000b2737ac73c439819e81f544cc023","1","1","219390","https://p.scdn.co/mp3-preview/97a733c71f334d8107595382c9d05ac349e6e7ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","KRB461800410","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2021-10-13T13:18:54Z"
"spotify:track:6BbAFjOCHA1AknMtIu3VjZ","Thru My Hair","spotify:artist:0jsnWH4QCKcAMpR7vEhh9u","¿Téo?","spotify:album:5NhRAV4V8xcH0Wzj047C1g","¿Téo?","spotify:artist:0jsnWH4QCKcAMpR7vEhh9u","¿Téo?","2018-09-13","https://i.scdn.co/image/ab67616d0000b273c4502e79a78fdc8b5aaa718b","1","3","100500","https://p.scdn.co/mp3-preview/986fc4b15263d18ba53c911e3cde040b4e69dca8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","TCADW1816801","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2021-10-13T13:22:23Z"
"spotify:track:6pm3SR1vvrV54AOJWsN7y7","It's You (Feat. ZICO)","spotify:artist:4BBN286rBKyCWsSPq2cxYO, spotify:artist:4XpUIb8uuNlIWVKmgKZXC0","Sam Kim, ZICO","spotify:album:0AsQlY5YENtlvd8SLnrSxX","Sun And Moon","spotify:artist:4BBN286rBKyCWsSPq2cxYO","Sam Kim","2018-11-22","https://i.scdn.co/image/ab67616d0000b2738368fc4dff4622c0e00e6dbf","1","2","257631","https://p.scdn.co/mp3-preview/b4b8bf90d432483fc34d73c5b8133cd3773c0377?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","KRA381802013","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2021-10-24T16:34:33Z"
"spotify:track:56sU9Hq81aKIXnAl90mocF","BEAUTY","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","spotify:album:61Te8TXjfT6qOhumVNAcM4","Absence 'Side D'","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","2018-05-10","https://i.scdn.co/image/ab67616d0000b273ad95752dde677a01c560bf97","1","1","197848","https://p.scdn.co/mp3-preview/d8190936e4319a125e2766832279a1e254b84aed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRNAR1806997","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2021-10-25T09:27:22Z"
"spotify:track:3vWeZSOhhmOai0Go0zKm5j","she likes spring, I prefer winter","spotify:artist:33crDRqANd3NQHJagZkQ7O","slchld","spotify:album:3EIoU5liNA7fpCQ3AmZ2dV","my insecurities, not yours","spotify:artist:33crDRqANd3NQHJagZkQ7O","slchld","2019-03-01","https://i.scdn.co/image/ab67616d0000b2734f3a3a7a53571c17ed14b006","1","2","207436","https://p.scdn.co/mp3-preview/93758bcd3578e63cf69b6b85fd46f8c76951748f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZDA71918712","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2021-10-27T12:17:34Z"
"spotify:track:7kpe2K0hdSssLj4G4YjxdU","camellia","spotify:artist:33crDRqANd3NQHJagZkQ7O","slchld","spotify:album:6EEKOptTOOPOQUCglyUjb8","camellia","spotify:artist:33crDRqANd3NQHJagZkQ7O","slchld","2020-11-18","https://i.scdn.co/image/ab67616d0000b273600ee242281deea5db49ee0e","1","1","151211","https://p.scdn.co/mp3-preview/52726f8675b205b82ffb30a01aedca707ab96ac1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","US23A1512506","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2021-11-02T11:23:14Z"
"spotify:track:7LN1f9jAIu7yxBzsLMN7RB","넘어와 (Feat. 백예린)","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF, spotify:artist:6dhfy4ByARPJdPtMyrUYJK","DEAN, Yerin Baek","spotify:album:48ScAfcD1Dy3gMPhjhTzek","Limbo","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","2017-02-17","https://i.scdn.co/image/ab67616d0000b2739a4616cc6ce6c1aa0c265d8d","1","2","266137","","false","47","KRUM71700061","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-04-09T13:47:26Z"
"spotify:track:1stfw37zfV1Pb3vp8GJnlw","Né Djarabi","spotify:artist:1TpC5csNvHxuscI0ySfqNJ","Terrakota","spotify:album:1LaX7IjISdbrbGNXhrnco2","World Massala","spotify:artist:1TpC5csNvHxuscI0ySfqNJ","Terrakota","2010-10-25","https://i.scdn.co/image/ab67616d0000b273007f57a74409759e847afc26","1","6","284586","https://p.scdn.co/mp3-preview/c04f69fc31e835f205bc6a0365ed5df38bc0ad10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","ES7181030506","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-08-20T13:57:42Z"
"spotify:track:5cl7JxnElrNMqm0suAitBe","Joy","spotify:artist:0OTbmw4nbgWHiTyqhmz72s","John Roseboro","spotify:album:1S1N1ihx2NsnRI4yfWksSE","Human Nature","spotify:artist:0OTbmw4nbgWHiTyqhmz72s","John Roseboro","2021-11-19","https://i.scdn.co/image/ab67616d0000b273c89b3f6ec934b580e5beb71d","1","5","133547","https://p.scdn.co/mp3-preview/d135cc19ef63ddea74051e1521de15cec1f5c3fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZNWT2157301","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-08-26T17:45:18Z"
"spotify:track:3LD4aJtgjtCA5vn0ke6ySq","MFL","spotify:artist:0OTbmw4nbgWHiTyqhmz72s","John Roseboro","spotify:album:1S1N1ihx2NsnRI4yfWksSE","Human Nature","spotify:artist:0OTbmw4nbgWHiTyqhmz72s","John Roseboro","2021-11-19","https://i.scdn.co/image/ab67616d0000b273c89b3f6ec934b580e5beb71d","1","6","174256","https://p.scdn.co/mp3-preview/67a4f353394dee430435b2f966d7856033996b83?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZNWT2157302","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-10-17T17:24:32Z"
"spotify:track:6ad7bQ48TlqAgebCExUJVe","いきのこり●ぼくら","spotify:artist:6ignRjbPmLvKdtMLj9a5Xs","Ichiko Aoba","spotify:album:4yqm0ZLcphXs8M8cVvLKym","0","spotify:artist:6ignRjbPmLvKdtMLj9a5Xs","Ichiko Aoba","2013-10-23","https://i.scdn.co/image/ab67616d0000b273d79390609d8815d0400fec97","1","1","406103","https://p.scdn.co/mp3-preview/62cfa9f66954650b77d4c487333cc6a394412051?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","JPVI01323170","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-10-17T17:24:37Z"
"spotify:track:0YtaZAGopnHCabDnEAbL51","Mere Mortal","spotify:artist:0OTbmw4nbgWHiTyqhmz72s","John Roseboro","spotify:album:73ngLJxiimMIQS2waJYqYb","Mere Mortal","spotify:artist:0OTbmw4nbgWHiTyqhmz72s","John Roseboro","2021-04-23","https://i.scdn.co/image/ab67616d0000b2733be6de537c931bdc503398c1","1","1","157480","https://p.scdn.co/mp3-preview/abae11a0e00cf7203fd3b00b8b352ec4c0cc2785?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","QZDA82161844","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-10-17T17:24:41Z"
"spotify:track:3pSTUZbp7J5jg2JHChTf21","A Menina Dança","spotify:artist:2ohBjgFT9V0LRDWO2wF9DJ","Novos Baianos","spotify:album:5pIlMNPZh4D9iJSoCfMzGi","Acabou Chorare","spotify:artist:2ohBjgFT9V0LRDWO2wF9DJ","Novos Baianos","1972","https://i.scdn.co/image/ab67616d0000b27327968fcceb7e9541fb2c9d76","1","7","232200","https://p.scdn.co/mp3-preview/7ff3328a9ae482e623ac107cd5cd796434a621c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","BRSGL7200015","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2022-10-17T17:24:48Z"
