"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0jnUqXkSxqe8hLkPVfzIjz","Bom","spotify:artist:4k5fFEYgkWYrYvtOK3zVBl","BOL4","spotify:album:4pR0eatWzDISWS8LHv5dzZ","Puberty BookⅠ Bom","spotify:artist:4k5fFEYgkWYrYvtOK3zVBl","BOL4","2019-04-02","https://i.scdn.co/image/ab67616d0000b2731c37b480eaeeb8f58fbbd685","1","2","217044","https://p.scdn.co/mp3-preview/4d67a4a0e4972262371c9a1c48f6ae4b6a5b583e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRA381901473","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-05T23:42:21Z"
"spotify:track:6z1kLsntE7FuzKZHZWrXYN","instagram","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","spotify:album:1wW2yfORAbOEfn2Et1q687","instagram","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","2017-12-26","https://i.scdn.co/image/ab67616d0000b2734ee9dc60013d5648d0f23bcc","1","1","255728","","false","62","KRUM71700353","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-11T13:02:56Z"
"spotify:track:1dA1tlzwcJ3YDYsSul1m06","Jenga (feat. Gaeko)","spotify:artist:5dCvSnVduaFleCnyy98JMo, spotify:artist:0tkHE1pQ5ZCgQb8WZ0ba79","HEIZE, Gaeko","spotify:album:5Fs2dlwUz1zkNcUPu6KaKF","Wish & Wind","spotify:artist:5dCvSnVduaFleCnyy98JMo","HEIZE","2018-03-08","https://i.scdn.co/image/ab67616d0000b273e5b72a052cd11134380eeb8a","1","1","210158","https://p.scdn.co/mp3-preview/a8b6a5d562af9b7163eca3b3e65fd330fcf7b03b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","KRA491800172","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-11T20:33:12Z"
"spotify:track:5n368tNF47S70THlmpaGLf","Rain","spotify:artist:4qRXrzUmdy3p33lgvJEzdv","Paul Kim","spotify:album:0pLInB6G2NXR87Pwi4O3dQ","Rain","spotify:artist:4qRXrzUmdy3p33lgvJEzdv","Paul Kim","2016-06-21","https://i.scdn.co/image/ab67616d0000b273c969073e13156547d08eab3a","1","1","237217","https://p.scdn.co/mp3-preview/e75ff8c564f27dc9d5076b165a92b3d3e8c4affe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","KRNAR1601973","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-22T01:57:34Z"
"spotify:track:6ioaDimY5lmeAl5gBh0imb","Sunshine","spotify:artist:7lXgbtBDcCRbfc5f8FhGUL, spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Hoody, Crush","spotify:album:6kqBCAcmJtniQdJY0F8pr0","Sunshine","spotify:artist:7lXgbtBDcCRbfc5f8FhGUL","Hoody","2018-10-22","https://i.scdn.co/image/ab67616d0000b27308b248c670802ca043333f13","1","1","195943","https://p.scdn.co/mp3-preview/38f3f25c981bb8b37f8301d77fbef3f8d946861d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRC711800043","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-07-22T02:21:11Z"
"spotify:track:4as4XEOR03oGm1STUKl6pa","BBIBBI","spotify:artist:3HqSLMAZ3g3d5poNaI7GOU","IU","spotify:album:4ghBzVOTFoeKPPmyNKjVtI","BBIBBI","spotify:artist:3HqSLMAZ3g3d5poNaI7GOU","IU","2018-10-10","https://i.scdn.co/image/ab67616d0000b273a1d785640d9421ec17ea8fe6","1","1","194426","https://p.scdn.co/mp3-preview/a3d6d43bcd92211fde4a4914264fb51d49a79b31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","KRA381801523","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-08-01T23:00:18Z"
"spotify:track:4hRA2rCPaCOpoEIq5qXaBz","Inferiority Complex","spotify:artist:0hT0UrjmzkLJouAT52ck6j, spotify:artist:4MLK9Hhz7UhxAzU2awoLxk","Park Kyung, EUNHA","spotify:album:0WkXveHN5p6Md6ouIFJzBS","Inferiority Complex","spotify:artist:0hT0UrjmzkLJouAT52ck6j","Park Kyung","2016-05-25","https://i.scdn.co/image/ab67616d0000b27324e3a833a37b6904e5e26e8a","1","1","204376","https://p.scdn.co/mp3-preview/0d13a2750c7afc78b986cbaedec93b561039cd2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","KRC491600010","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-08-25T02:31:42Z"
"spotify:track:4hZShMUML4tIKWvxa2u7Ne","Take It Slow","spotify:artist:1z4g3DjTBBZKhvAroFlhOM","Red Velvet","spotify:album:27cBQ5FDqv0xLgiJ7qNpZr","Ice Cream Cake - The 1st Mini Album","spotify:artist:1z4g3DjTBBZKhvAroFlhOM","Red Velvet","2015-03-17","https://i.scdn.co/image/ab67616d0000b2733beb8877c3a0cde5be9a139c","1","5","211760","https://p.scdn.co/mp3-preview/1bd52184b374592e8607a81ea007736bafa5f267?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","KRA301500095","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-09-08T11:31:05Z"
"spotify:track:4s5ctbQSdw859e9ozID4Hb","떠나간다","spotify:artist:1zVCbVIEKtjg4tRWqwixoY","Hwaii","spotify:album:4DxK41XWj7ExCwvExlywjB","티켓 두장 주세요","spotify:artist:1zVCbVIEKtjg4tRWqwixoY","Hwaii","2011-08-17","https://i.scdn.co/image/ab67616d0000b273b9ba8cadc8e36a145ea77248","1","8","211748","https://p.scdn.co/mp3-preview/234ffc7576db3bdd4ec52872720f4f2c47498ff6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371553358","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-09-13T22:38:34Z"
"spotify:track:1pz24zu5H9A0S1a2NKT4F0","SoulMate (feat. IU)","spotify:artist:4XpUIb8uuNlIWVKmgKZXC0, spotify:artist:3HqSLMAZ3g3d5poNaI7GOU","ZICO, IU","spotify:album:0aDnkPxX660ezxCWBcqzVo","SoulMate (feat. IU)","spotify:artist:4XpUIb8uuNlIWVKmgKZXC0","ZICO","2018-07-30","https://i.scdn.co/image/ab67616d0000b2737ac73c439819e81f544cc023","1","1","219390","https://p.scdn.co/mp3-preview/97a733c71f334d8107595382c9d05ac349e6e7ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","KRB461800410","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-09-29T23:28:28Z"
"spotify:track:0Yz3F0UGDibDe8uU69zmjn","And July","spotify:artist:5dCvSnVduaFleCnyy98JMo, spotify:artist:3eCd0TZrBPm2n9cDG6yWfF, spotify:artist:0js3wKXyi7RL11sfOykRt1","HEIZE, DEAN, dj friz","spotify:album:3xUWeFeLn6m3NXKr0FlT3E","And July","spotify:artist:5dCvSnVduaFleCnyy98JMo","HEIZE","2016-07-18","https://i.scdn.co/image/ab67616d0000b2737f22ff3c2da84dfc06101e23","1","1","226128","https://p.scdn.co/mp3-preview/ef3d460643d72b4535852d3513bccd8579c64877?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","KRA491600449","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-10-08T02:38:37Z"
"spotify:track:3uA8SjMyDtwtt0jLPMQbVD","D (Half Moon)","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF, spotify:artist:0tkHE1pQ5ZCgQb8WZ0ba79","DEAN, Gaeko","spotify:album:1MW3txTS49ZGvyLi0fziLU","130 Mood : TRBL","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","2016-03-25","https://i.scdn.co/image/ab67616d0000b27318974569625e8449a5497ef3","1","5","229359","","false","58","KRUM71600036","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-10-20T01:49:10Z"
"spotify:track:6IFpwncCkKrXHyP0RuG9r6","Bonnie & Clyde","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","spotify:album:1MW3txTS49ZGvyLi0fziLU","130 Mood : TRBL","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","2016-03-25","https://i.scdn.co/image/ab67616d0000b27318974569625e8449a5497ef3","1","3","224606","","false","51","KRUM71600035","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-11-24T16:39:44Z"
"spotify:track:3PX5Hkkhh4da6Sntk3LwYo","커피를 마시고 Coffee - Reprise","spotify:artist:1dOMFM5wDNsENQQW0nl0K8","Urban Zakapa","spotify:album:7gUFQ9ulk9EbbSz8U52xTp","01","spotify:artist:1dOMFM5wDNsENQQW0nl0K8","Urban Zakapa","2011-05-17","https://i.scdn.co/image/ab67616d0000b273014fa950326773be715e087e","1","2","228773","","false","0","KRA531134002","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-12-17T20:46:33Z"
"spotify:track:5XJEdVQ5jl3C3dFsV7kCTZ","Kingdom Come","spotify:artist:1z4g3DjTBBZKhvAroFlhOM","Red Velvet","spotify:album:0rvrbZvaDX5S9ZBhwOwFfH","Perfect Velvet - The 2nd Album","spotify:artist:1z4g3DjTBBZKhvAroFlhOM","Red Velvet","2017-11-17","https://i.scdn.co/image/ab67616d0000b2736538b8e1b5c7b2a9d2211769","1","4","210162","https://p.scdn.co/mp3-preview/e62d1a517ecdce73d364f2c0d54c873af4d8aaa2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","KRA301700603","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-12-18T03:00:45Z"
"spotify:track:6KGxifBxTKSctCMqZoEI7R","Lady","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","spotify:album:2E0KVLcgonkLqwXvFIiDdy","Absence 'Side C'","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","2017-11-16","https://i.scdn.co/image/ab67616d0000b273ac6256c69feef767c4d07d8c","1","1","269680","https://p.scdn.co/mp3-preview/99f69e9be970321dc9829566776fb761eef40af5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRNAR1708582","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-01-20T13:14:53Z"
"spotify:track:2AA1f7utyvXpmtKsEvp5lz","하루살이","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF, spotify:artist:1OjcBoc71FwlzD5cJGx7xk, spotify:artist:6UdKtISMXYKSR8jcgtFePo","DEAN, SULLI, Rad Museum","spotify:album:7Jx4yrb93ioommudLfYAx8","하루살이","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","2018-11-09","https://i.scdn.co/image/ab67616d0000b27324eb27f095031b1c29bcce20","1","1","207112","","false","56","KRUM71800443","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-01-29T00:55:59Z"
"spotify:track:0ono6UCNVZ1XqOm6j78Blu","Filter","spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX","BTS","spotify:album:6mJZTV8lCqnwftYZa94bXS","MAP OF THE SOUL : 7","spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX","BTS","2020-02-21","https://i.scdn.co/image/ab67616d0000b2738afcb7dd182cffe8d53b781e","1","8","180220","https://p.scdn.co/mp3-preview/d55bcdfb25b5bec54b0f3ccdd33123d0acf9062b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QM4TX2001946","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-02-21T17:24:01Z"
"spotify:track:6GS3lnAVy5w6AHWEKYzYeS","What 2 Do","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF, spotify:artist:6aLdhHUqgdKE86xbtNmY8g, spotify:artist:2vVT4qoxWje0gVD2FiWZ4u","DEAN, Crush, Jeff Bernat","spotify:album:1MW3txTS49ZGvyLi0fziLU","130 Mood : TRBL","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","2016-03-25","https://i.scdn.co/image/ab67616d0000b27318974569625e8449a5497ef3","1","4","224098","","false","55","KRUM71500144","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-03-02T22:44:44Z"
"spotify:track:0WSTInLqMrT9po0LAHpZCJ","UN Village","spotify:artist:4ufh0WuMZh6y4Dmdnklvdl","BAEKHYUN","spotify:album:6AeMj5CMeTXRGhmUuv0LH3","City Lights - The 1st Mini Album","spotify:artist:4ufh0WuMZh6y4Dmdnklvdl","BAEKHYUN","2019-07-10","https://i.scdn.co/image/ab67616d0000b2738c0903b4b02840c57f103db4","1","1","235509","https://p.scdn.co/mp3-preview/eee9b9311ebf1bf882a76a3fc34ec222f46b86cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","KRA301900276","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-03-03T02:19:31Z"
"spotify:track:2Aeq6X8PmiZrzdC5WptzIL","Good Night","spotify:artist:32vntVlDOsm1HGm9Xe0FSz","Rico Sasaki","spotify:album:4mnu3y4nJjpnT24fRUPlMD","Play the world","spotify:artist:32vntVlDOsm1HGm9Xe0FSz","Rico Sasaki","2020-02-26","https://i.scdn.co/image/ab67616d0000b273c2a1f20369087bfc9ed4d40b","1","2","237160","https://p.scdn.co/mp3-preview/81aa02debceb5ab950b363e617176e871b31a103?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","JPK632001702","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-03-06T20:41:21Z"
"spotify:track:42tFTth2jcF7iSo0RBjfJF","Peek-A-Boo","spotify:artist:1z4g3DjTBBZKhvAroFlhOM","Red Velvet","spotify:album:0rvrbZvaDX5S9ZBhwOwFfH","Perfect Velvet - The 2nd Album","spotify:artist:1z4g3DjTBBZKhvAroFlhOM","Red Velvet","2017-11-17","https://i.scdn.co/image/ab67616d0000b2736538b8e1b5c7b2a9d2211769","1","1","189049","https://p.scdn.co/mp3-preview/2cf3de77dcf406efbc29787e03e339416856daf9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","KRA301700600","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-03-08T03:06:42Z"
"spotify:track:2XdyebP7KxClMOse2C5iyA","Your Dog Loves You","spotify:artist:3VQDqjQ4wJyw8PzpGdlZpB, spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Colde, Crush","spotify:album:2v90Yfew0Ajn5tXzxVhixI","Your Dog Loves You","spotify:artist:3VQDqjQ4wJyw8PzpGdlZpB","Colde","2018-03-28","https://i.scdn.co/image/ab67616d0000b273820503e0f626069e3e5aef23","1","1","270003","https://p.scdn.co/mp3-preview/591687ac1da4e48c3069043664cde3e6bd4ab1b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRNAR1804612","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-04-23T09:13:24Z"
"spotify:track:1uvhaF0YquxqSNbcFVElOj","Stay Beautiful","spotify:artist:2YXlVLKq3X3soXd2aXUtIT","JAMIE","spotify:album:0nI1IJz0ekVLD6vyYj77uH","Stay Beautiful","spotify:artist:2YXlVLKq3X3soXd2aXUtIT","JAMIE","2019-08-26","https://i.scdn.co/image/ab67616d0000b2738c821b3db174564858f45235","1","1","166053","https://p.scdn.co/mp3-preview/fb3b57d802f54e9e87382b7162a71abee88ad4db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US5TA1900072","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-04-23T09:13:35Z"
"spotify:track:7LN1f9jAIu7yxBzsLMN7RB","넘어와 (Feat. 백예린)","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF, spotify:artist:6dhfy4ByARPJdPtMyrUYJK","DEAN, Yerin Baek","spotify:album:48ScAfcD1Dy3gMPhjhTzek","Limbo","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","2017-02-17","https://i.scdn.co/image/ab67616d0000b2739a4616cc6ce6c1aa0c265d8d","1","2","266137","","false","47","KRUM71700061","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-04-26T08:42:33Z"
"spotify:track:4UeBknW6SpdoPumvc5r54O","HANGANG","spotify:artist:7lXgbtBDcCRbfc5f8FhGUL","Hoody","spotify:album:05w8pfLdbelW8cwUcViHvD","HANGANG","spotify:artist:7lXgbtBDcCRbfc5f8FhGUL","Hoody","2017-08-24","https://i.scdn.co/image/ab67616d0000b2732413c02441b1f2fb51f9f7f4","1","1","200488","https://p.scdn.co/mp3-preview/1213bac891557dcfe4deff14ad82e47abc579526?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRC711700027","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-04-29T14:19:34Z"
"spotify:track:5aRxvrY42SB8J18ANU25Ds","30분 전 (with. GRAM)","spotify:artist:5fx7SHPVQo1fBGuOAwNWLw, spotify:artist:2qKhaMe5cOdQinPWBXyCHF","황예, GRAM","spotify:album:6iQQCXKv7ckkOMai5XEiGv","18.58","spotify:artist:5fx7SHPVQo1fBGuOAwNWLw","황예","2018-08-08","https://i.scdn.co/image/ab67616d0000b27313ce6e7d6179d97b8422602d","1","1","204446","https://p.scdn.co/mp3-preview/c2973f0696506895d6a111560e5024e9209f5f0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRA341767645","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-05-10T02:21:58Z"
"spotify:track:6uinpqa2nfwWmlj0lOgAf0","NAPPA 나빠","spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Crush","spotify:album:7jpFBDXV2iuM58UEwYaWdL","NAPPA 나빠","spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Crush","2019-08-28","https://i.scdn.co/image/ab67616d0000b273b5c83d2c576aa0ae193e93f2","1","1","194040","https://p.scdn.co/mp3-preview/5e547b7842bd2f4e624e47684635f0a1cfa3a394?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QMEU31917088","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-06-04T20:18:25Z"
"spotify:track:3ljf15wc6yNaQnFJmPnyxj","Angel 2 Me","spotify:artist:2ud13noLktQvM72kgD2CgJ, spotify:artist:2vVT4qoxWje0gVD2FiWZ4u","McKay, Jeff Bernat","spotify:album:0RLNtgBovmsUNwck4QIzq7","Angel 2 Me","spotify:artist:2ud13noLktQvM72kgD2CgJ","McKay","2015-02-06","https://i.scdn.co/image/ab67616d0000b273f4ad64fbab1dafa88b45fee6","1","1","210163","https://p.scdn.co/mp3-preview/20046593970224a4faa7f8c791bc4591f315642b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRA491402851","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-07-03T16:45:43Z"
"spotify:track:12AZFn9F5h9tlxMEbdZEwm","247 (Feat. Zion.T, Crush, DEAN)","spotify:artist:6zTIxEXFWjoNu2VXauDITb, spotify:artist:6aLdhHUqgdKE86xbtNmY8g, spotify:artist:3eCd0TZrBPm2n9cDG6yWfF, spotify:artist:5HenzRvMtSrgtvU16XAoby","Junggigo, Crush, DEAN, Zion.T","spotify:album:2gh1gOiK2s2qhcjntDeVwD","ACROSS THE UNIVERSE","spotify:artist:6zTIxEXFWjoNu2VXauDITb","Junggigo","2017-04-20","https://i.scdn.co/image/ab67616d0000b273f00c2db1233632cf0736e531","1","4","217818","https://p.scdn.co/mp3-preview/3479ca93c15cdcebb7924f031c4d8fe1b928000f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","KRA381700851","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-08-09T18:32:52Z"
"spotify:track:3k7ikTNf1Ms0ZfTsoe9Blk","Mayday (Feat. Joy)","spotify:artist:6aLdhHUqgdKE86xbtNmY8g, spotify:artist:0sYpJ0nCC8AlDrZFeAA7ub","Crush, JOY","spotify:album:75yTA2QkJzFi33JRw1q7El","homemade 1","spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Crush","2020-05-20","https://i.scdn.co/image/ab67616d0000b273550d789b57a733b3b9544149","1","1","199266","https://p.scdn.co/mp3-preview/182f73cc24861387951dfe92f5884e996a73b1c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRMIM2011544","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-08-20T13:20:40Z"
"spotify:track:5gkB40BDQE1CvtXpF6fcPm","봄이 좋냐?? What The Spring??","spotify:artist:6zn0ihyAApAYV51zpXxdEp","10CM","spotify:album:0u4WFVJDJh5dbNYgOgbABY","봄이 좋냐?? What The Spring??","spotify:artist:6zn0ihyAApAYV51zpXxdEp","10CM","2016-04-01","https://i.scdn.co/image/ab67616d0000b273e37ee790006ba64aae2500b8","1","1","205751","https://p.scdn.co/mp3-preview/b13bf3f77317a78c55dfa0263907e0b2267045ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","UK6821400771","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-08-21T20:47:49Z"
"spotify:track:5MFROL7TXwkFAeDs6rphWX","Lyricist","spotify:artist:5dCvSnVduaFleCnyy98JMo","HEIZE","spotify:album:0EMhcFdM4qy85rwwqOttww","Lyricist","spotify:artist:5dCvSnVduaFleCnyy98JMo","HEIZE","2020-06-10","https://i.scdn.co/image/ab67616d0000b273d145a092204f14b0fbc70649","1","1","196120","https://p.scdn.co/mp3-preview/252b7dc0e53e97b6c0d7a970ab38674c1829156a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRA492000665","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-08-30T14:00:02Z"
