"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7cccb7pKQqOP9JntsWokzA","Gangsta","spotify:artist:687cZJR45JO7jhk1LHIbgq","Tems","spotify:album:1FGGv0vvSTerGQ91Mkvf9p","Born in the Wild","spotify:artist:687cZJR45JO7jhk1LHIbgq","Tems","2024-06-06","https://i.scdn.co/image/ab67616d0000b2737dc0c596be434c20d81970c5","1","8","161585","https://p.scdn.co/mp3-preview/65e19eeece31df7d0e152db704301a078eb5b56b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USRC12401736","","2024-06-18T03:04:42Z"
"spotify:track:1AMADyXgIWayh5vXLZo2qF","Covet","spotify:artist:4DUQBYAyOTZotSEdKhaf6c","Basement","spotify:album:5uRI7KHcBALPpwhAB9RKnb","Colourmeinkindness","spotify:artist:4DUQBYAyOTZotSEdKhaf6c","Basement","2012-10-23","https://i.scdn.co/image/ab67616d0000b273fb5759dc6a1d9eb96dadde10","1","2","227340","https://p.scdn.co/mp3-preview/0cf09260ba7bb45a6ca9d9dd96685c6da9fd230c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USQU71206102","","2024-06-18T01:16:51Z"
"spotify:track:180EMTjwdtORBlFNAtlcO7","Castle of sand","spotify:artist:7HyY7hachlO53AjpM7CTOv","NUUAMM","spotify:album:7u2xjrnKjxjr9y6wx8MPTZ","w / ave","spotify:artist:7HyY7hachlO53AjpM7CTOv","NUUAMM","2017-06-28","https://i.scdn.co/image/ab67616d0000b273e98ab5773fd39962dd587847","1","8","184599","https://p.scdn.co/mp3-preview/178da1e688217cd735b6a47cb37cb55de8ebad43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","TCJPL2085289","","2024-06-16T11:54:06Z"
"spotify:track:1DPz356PzDOvqvjCnQu7Lo","Stalking You","spotify:artist:31W5EY0aAly4Qieq6OFu6I","A Boogie Wit da Hoodie","spotify:album:3HHp5I6Q6SEyU5bkvoCtnV","The Bigger Artist","spotify:artist:31W5EY0aAly4Qieq6OFu6I","A Boogie Wit da Hoodie","2017-09-29","https://i.scdn.co/image/ab67616d0000b273cdba7ee22968991250725ce1","1","14","221076","https://p.scdn.co/mp3-preview/3f221b4b0860403d8d4483ce305280ce6682bfed?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","USAT21703684","","2024-06-12T10:22:45Z"
"spotify:track:2ZJ28Rm7OXMYJshLtp5uff","A Town with an Ocean View","spotify:artist:7nzSoJISlVJsn7O0yTeMOB","Joe Hisaishi","spotify:album:2NO5lYWs4aWpsmHOjF4JHk","Kiki's Delivery Service Soundtrack Music Collection","spotify:artist:7nzSoJISlVJsn7O0yTeMOB","Joe Hisaishi","1989-08-10","https://i.scdn.co/image/ab67616d0000b27333c927e353611ebb8115fc90","1","3","180333","https://p.scdn.co/mp3-preview/775fb98c60d2d10146e04ab104f8097972195c6b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","JPTK08980603","","2024-06-03T01:44:59Z"
"spotify:track:0dFdGPVLs3k0z9ezYWZzUa","Intimidated (feat. H.E.R.)","spotify:artist:6qgnBH6iDM91ipVXv28OMu, spotify:artist:3Y7RZ31TRPVadSFVy1o8os","KAYTRANADA, H.E.R.","spotify:album:4BwfoXhDqTfiGS6pZueR9g","Intimidated","spotify:artist:6qgnBH6iDM91ipVXv28OMu","KAYTRANADA","2021-11-19","https://i.scdn.co/image/ab67616d0000b273f310d5609e266549b3094564","1","1","207840","https://p.scdn.co/mp3-preview/f8a126e1c8c8b741ecfa53e0bb9f6ea7b2fb7e0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USRC12102824","","2024-06-03T01:24:58Z"
"spotify:track:2X1EJ3cy9pbqYGHqOJ3ZZU","A Rose Blooms In Chaos","spotify:artist:4EtPjRpofHx6L19gzOKkun","evaness","spotify:album:1I2r6u2FJELdchtNoukbs9","A Rose Blooms In Chaos","spotify:artist:4EtPjRpofHx6L19gzOKkun","evaness","2024-05-13","https://i.scdn.co/image/ab67616d0000b273ddff71f0efb6a14d75894e34","1","1","116819","","true","40","QZMEM2483315","","2024-05-28T03:52:49Z"
"spotify:track:7ddVpLW467CLYffbPRQNmH","Take A Bite","spotify:artist:35l9BRT7MXmM8bv2WDQiyB","beabadoobee","spotify:album:7sgA12Lei0Nx2SX8iAMSU6","Take A Bite","spotify:artist:35l9BRT7MXmM8bv2WDQiyB","beabadoobee","2024-05-09","https://i.scdn.co/image/ab67616d0000b2731a022362df1d720a646c6391","1","1","158866","https://p.scdn.co/mp3-preview/989e871da85c8cb973969a0c55eff1cfea6607c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBK3W2402961","","2024-05-28T03:43:16Z"
"spotify:track:5ZtK8XAVnoaGdBXZWCEVCY","Lonely At The Top","spotify:artist:3a1tBryiczPAZpgoZN9Rzg","Asake","spotify:album:2O9VJaLSnwjZ2HPpMaVoPU","Work Of Art","spotify:artist:3a1tBryiczPAZpgoZN9Rzg","Asake","2023-06-15","https://i.scdn.co/image/ab67616d0000b2737e2b5827ffc185e44c3e6ef0","1","12","157714","https://p.scdn.co/mp3-preview/107dcac1219003cd40f8113a3190b6110bc3d2cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USUYG1490059","","2024-05-25T20:11:34Z"
"spotify:track:4csaRsVTULL3gMvPc4iw0O","Epipremnum Aureum NJoy","spotify:artist:5MdvoiMcOaHXOAHKabtSpX","Ciao Ciao Marigold","spotify:album:61tIEGMQfNxcP6FdMoIOaK","Beets Vol. I","spotify:artist:5MdvoiMcOaHXOAHKabtSpX","Ciao Ciao Marigold","2022-12-05","https://i.scdn.co/image/ab67616d0000b273636a207bf783fa7a1522d575","1","2","101346","https://p.scdn.co/mp3-preview/196003c14805f6f72f279614ced4a1a0f537875e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","TCAGP2245205","","2024-05-21T18:49:21Z"
