"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0ZTJrZ1axCUmP1fiFzyabF","Are You That Somebody","spotify:artist:0urTpYCsixqZwgNTkPJOJ4","Aaliyah","spotify:album:2OCSWme6Y5SPnG15F2He0v","Annabelle - The Complete Fantasy Playlist","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2019-07-25","https://i.scdn.co/image/ab67616d0000b273f110baf2c326ee1d7860737c","1","2","265666","https://p.scdn.co/mp3-preview/12ec6bd01076a1404520c70cb0595b0f6595d0f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","UKDNQ1534174","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-12-01T22:28:49Z"
"spotify:track:4FgHURAh8kHbMCQJJ37Etc","Brandy","spotify:artist:38h03gA85YYPeDPd9ER9rT","The O'Jays","spotify:album:6MKxTNGK8IDA6bExrdOyX4","So Full Of Love","spotify:artist:38h03gA85YYPeDPd9ER9rT","The O'Jays","1978-10-29","https://i.scdn.co/image/ab67616d0000b2737b2f767a6c6cecb1dfe1ff33","1","5","251746","https://p.scdn.co/mp3-preview/3a6ab8fc6d28439918e0880ae838a1da863c5c4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USSM17801266","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-12-01T22:29:19Z"
"spotify:track:7wBThXx7BGZHJJ3aN3OPvv","Confessions Part II","spotify:artist:23zg3TcAtWQy7J6upgbUnj","USHER","spotify:album:1RM6MGv6bcl6NrAG8PGoZk","Confessions (Expanded Edition)","spotify:artist:23zg3TcAtWQy7J6upgbUnj","USHER","2004-03-23","https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da","1","5","211200","https://p.scdn.co/mp3-preview/857b4ee86c225fd300d04367caa162718a39834f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USAR10400973","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-12-01T22:29:37Z"
"spotify:track:0Uyh92tLyb9JawG8lmWCzJ","Differences","spotify:artist:7r8RF1tN2A4CiGEplkp1oP","Ginuwine","spotify:album:5IZeegMeRHlyKE6LKrVuYt","The Life","spotify:artist:7r8RF1tN2A4CiGEplkp1oP","Ginuwine","2001-04-03","https://i.scdn.co/image/ab67616d0000b273a7a72fa27131a7aa9048e738","1","4","265533","https://p.scdn.co/mp3-preview/315004b74f73d6087fa08da2c91e1cd83e847157?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USSM10102379","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-12-01T22:29:46Z"
"spotify:track:1tL5a9jowsWMtn3wkFYsG9","Footsteps in the Dark, Pts. 1 & 2","spotify:artist:53QzNeFpzAaXYnrDBbDrIp","The Isley Brothers","spotify:album:04nhRulMSOvcRCGRTa7I5l","Go for Your Guns","spotify:artist:53QzNeFpzAaXYnrDBbDrIp","The Isley Brothers","1977-08-21","https://i.scdn.co/image/ab67616d0000b27319c539a028c4ae1edd7cc5bf","1","2","306800","https://p.scdn.co/mp3-preview/f888ef35b1c8dec21e45391e3640c8523795c7ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USSM10016350","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-12-01T22:29:54Z"
"spotify:track:7eoNNyyusSxTQeCtWMWdr0","Get On The Good Foot","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","spotify:album:6MjOv3BeIjmht2ymtRih3s","20 All-Time Greatest Hits!","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","1991","https://i.scdn.co/image/ab67616d0000b27312b16cbb525e11bcbfd50d82","1","13","214933","","false","0","USWWW0128622","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-12-01T22:29:57Z"
"spotify:track:042pmCix7CPth3l3X28jl1","Here and Now","spotify:artist:19y5MFBH7gohEdGwKM7QsP","Luther Vandross","spotify:album:5rrSO0mgkVmZF1qjPn0TKD","The Best of Luther Vandross The Best of Love","spotify:artist:19y5MFBH7gohEdGwKM7QsP","Luther Vandross","1989","https://i.scdn.co/image/ab67616d0000b273178e9088419cf052a8ebce29","2","10","323000","https://p.scdn.co/mp3-preview/58719d34541f8e1f56dcc2ace1dde275681c8023?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USSM18800185","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-12-01T22:30:04Z"
"spotify:track:1HibhNhwk2tljwC4BGGLXV","I Can't Help It","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:2ZytN2cY4Zjrr9ukb2rqTP","Off the Wall","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","1979-08-10","https://i.scdn.co/image/ab67616d0000b2737027294551db4fda68b5ddac","1","8","269333","https://p.scdn.co/mp3-preview/cba7cb1ef854ad734819f8e2c56c21ed26e54574?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USSM17900823","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-12-01T22:30:11Z"
"spotify:track:3gsCAGsWr6pUm1Vy7CPPob","Killing Me Softly With His Song","spotify:artist:0W498bDDNlJIrYMKXdpLHA","Roberta Flack","spotify:album:4GxrvKiysSiDU1HHifh1PA","Killing Me Softly","spotify:artist:0W498bDDNlJIrYMKXdpLHA","Roberta Flack","1973-01-01","https://i.scdn.co/image/ab67616d0000b2737ff730d1580c27bc461d0ccf","1","1","286920","https://p.scdn.co/mp3-preview/86f729251aeaa50bbbb8c022de6861091c0cb180?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USAT29901394","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-12-01T22:30:18Z"
"spotify:track:68vgtRHr7iZHpzGpon6Jlo","My Boo","spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:3DiDSECUqqY1AuBP8qtaIa","USHER, Alicia Keys","spotify:album:1RM6MGv6bcl6NrAG8PGoZk","Confessions (Expanded Edition)","spotify:artist:23zg3TcAtWQy7J6upgbUnj","USHER","2004-03-23","https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da","1","18","223440","https://p.scdn.co/mp3-preview/5391dafc63896270994d13c5fc501da0d149ef49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USAR10400887","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-12-01T22:30:33Z"
