"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0jEzevn8nsUrlkeuBAgS1B","Let's Go Sunning","spotify:artist:5YkgPDT3sjvYtPkpiqi2js","Jack Shaindlin","spotify:album:629PRUynXcqKHoYJa7gp4L","Dance Orchestra","spotify:artist:5YkgPDT3sjvYtPkpiqi2js","Jack Shaindlin","1998-04-22","https://i.scdn.co/image/ab67616d0000b273e065f8c0786fcd2352e7c966","1","19","104066","https://p.scdn.co/mp3-preview/7da7e601561f67d1dad40c0317d6ff793904b102?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","QMFCK1328419","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-08-13T19:50:08Z"
"spotify:track:4EpZ4eYuZOwPSSwyqpdHnJ","Sunflower","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:1FhmTMNe8AziAPkB29114F","Sunflower","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-03-22","https://i.scdn.co/image/ab67616d0000b27315f4cfd072793fa7532e674a","1","1","252230","https://p.scdn.co/mp3-preview/27b6b4f595da7570041c61e553a2cb8ceb6c8417?cid=9950ac751e34487dbbe027c4fd7f8e99","true","2","US23A1500468","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-08-13T19:50:15Z"
"spotify:track:6ioaDimY5lmeAl5gBh0imb","Sunshine","spotify:artist:7lXgbtBDcCRbfc5f8FhGUL, spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Hoody, Crush","spotify:album:6kqBCAcmJtniQdJY0F8pr0","Sunshine","spotify:artist:7lXgbtBDcCRbfc5f8FhGUL","Hoody","2018-10-22","https://i.scdn.co/image/ab67616d0000b27308b248c670802ca043333f13","1","1","195943","https://p.scdn.co/mp3-preview/38f3f25c981bb8b37f8301d77fbef3f8d946861d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRC711800043","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-08-13T19:50:53Z"
"spotify:track:45yEy5WJywhJ3sDI28ajTm","Here Comes The Sun - Remastered","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:2Pqkn9Dq2DFtdfkKAeqgMd","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273f7c34e39bb746d7f41bc5519","1","7","185733","","false","0","GBAYE0601696","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-08-13T19:51:25Z"
"spotify:track:36fUSJkYdEZ6i2BKZ2jvt9","砂の惑星 ( + 初音ミク )","spotify:artist:1snhtMLeb2DYoMOcVbb8iB, spotify:artist:6pNgnvzBa6Bthsv8SrZJYl","Kenshi Yonezu, Hatsune Miku","spotify:album:5ztm773WXmGJDkzGWH0YXT","BOOTLEG","spotify:artist:1snhtMLeb2DYoMOcVbb8iB","Kenshi Yonezu","2017-11-01","https://i.scdn.co/image/ab67616d0000b2739a067db34b24b7030cb87909","1","4","240026","https://p.scdn.co/mp3-preview/9900b48f541c5324c2975ee197328b09285c8768?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","JPU901702916","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2019-08-13T19:53:45Z"
"spotify:track:4fJCpN7FSKLMt22aKQxSuJ","Eternal Sunshine","spotify:artist:5snNHNlYT2UrtZo5HCJkiw","Epik High","spotify:album:0ku3S11VuwERVu81G7m0jv","sleepless in __________","spotify:artist:5snNHNlYT2UrtZo5HCJkiw","Epik High","2019-03-11","https://i.scdn.co/image/ab67616d0000b273e09cf2e27583bc4ad22269f2","1","4","205389","https://p.scdn.co/mp3-preview/8c0186fd75cc4719637feed5bd4d93224359ed47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRA381900474","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-03-03T02:12:07Z"
"spotify:track:6fTdcGsjxlAD9PSkoPaLMX","Sunday Candy","spotify:artist:0ojcq9LJQWMawQdFDw3M0L","Nico Segal","spotify:album:3eM1KTKmpqrQOvuvYY42cr","Surf","spotify:artist:0ojcq9LJQWMawQdFDw3M0L","Nico Segal","2015-06-30","https://i.scdn.co/image/ab67616d0000b27342bf3f893586a144871b35a8","1","15","226013","https://p.scdn.co/mp3-preview/d0bd0fdc9c0eedd3ec9b56ace94f9450b0ff73a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","TCACG1582642","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-03-15T22:20:08Z"
"spotify:track:3JWiDGQX2eTlFvKj3Yssj3","Closed On Sunday","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:0FgZKfoU2Br5sHOfvZKTI9","JESUS IS KING","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2019-10-25","https://i.scdn.co/image/ab67616d0000b2731bb797bbfe2480650b6c2964","1","4","151873","","false","59","USUM71920461","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-03-15T22:20:16Z"
"spotify:track:782QoB4jJ7hEVJmkYzVrRE","Sunny Side Up!","spotify:artist:1z4g3DjTBBZKhvAroFlhOM","Red Velvet","spotify:album:3rVtm00UfbuzWOewdm4iYM","‘The ReVe Festival’ Finale","spotify:artist:1z4g3DjTBBZKhvAroFlhOM","Red Velvet","2019-12-23","https://i.scdn.co/image/ab67616d0000b273df5022bdf1ac4bf52135c4be","1","14","203817","https://p.scdn.co/mp3-preview/83063880d35581d249b67d05ea6dd0e2309b1df3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","KRA301900610","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-03-22T01:18:59Z"
"spotify:track:5qII2n90lVdPDcgXEEVHNy","Sunday Morning","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:5zClcGCSWj926AMjvBNSLc","Songs About Jane: 10th Anniversary Edition","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2002","https://i.scdn.co/image/ab67616d0000b27392f2d790c6a97b195f66d51e","1","8","244880","","false","75","USJAY0300086","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2020-03-24T15:08:22Z"
