"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3scptj8Idke3JxqmewOlJ9","Ray Mysterio (feat. Westside Gunn & Conway)","spotify:artist:0eVyjRhzZKke2KFYTcDkeu, spotify:artist:0ABk515kENDyATUdpCKVfW, spotify:artist:67gqUXxHedeUGDTxwBzdjS","The Alchemist, Westside Gunn, Conway the Machine","spotify:album:6HB5Nq7lSjvTs3gJom6BXI","Bread","spotify:artist:0eVyjRhzZKke2KFYTcDkeu","The Alchemist","2018-11-30","https://i.scdn.co/image/ab67616d0000b273795e7069de7cb188b7c821b4","1","1","223535","https://p.scdn.co/mp3-preview/b260a4965547f606c06e30e90505bcbfe7cdc10e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USUYG1228090","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-09-16T01:00:07Z"
"spotify:track:3RyLrayd9un9ClTah57JI0","Babies & Fools (feat. Conway the Machine)","spotify:artist:0Y4inQK6OespitzD6ijMwb, spotify:artist:0eVyjRhzZKke2KFYTcDkeu, spotify:artist:67gqUXxHedeUGDTxwBzdjS","Freddie Gibbs, The Alchemist, Conway the Machine","spotify:album:3znl1qe13kyjQv7KcR685N","Alfredo","spotify:artist:0Y4inQK6OespitzD6ijMwb, spotify:artist:0eVyjRhzZKke2KFYTcDkeu","Freddie Gibbs, The Alchemist","2020-05-29","https://i.scdn.co/image/ab67616d0000b27352c24049a16d59e98a638651","1","8","206026","https://p.scdn.co/mp3-preview/b006d24f1a31f7c07bb6c6b76413f7d2bf61c805?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USUYG1314087","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-09-16T01:00:07Z"
"spotify:track:63FZ0ETLkQ8wrsuUAvoIkr","Solid Plan","spotify:artist:1grN0519h2zYqpRtYbDZAl, spotify:artist:0eVyjRhzZKke2KFYTcDkeu, spotify:artist:7BMccF0hQFBpP6417k1OtQ","Larry June, The Alchemist, Action Bronson","spotify:album:1AJrpzYu5KAbDSvmyiIUhr","The Great Escape","spotify:artist:1grN0519h2zYqpRtYbDZAl, spotify:artist:0eVyjRhzZKke2KFYTcDkeu","Larry June, The Alchemist","2023-03-31","https://i.scdn.co/image/ab67616d0000b27360bc4a5255b323583cefe763","1","3","175786","https://p.scdn.co/mp3-preview/58eae5bb607017f3dce2067771dd4f4ea2a325b4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","USUYG1466980","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-09-16T01:00:07Z"
"spotify:track:47FkzJm1bUaIc0OaGZvslL","Great Adventures","spotify:artist:4fpwOzxFRMVGfd197dKIdY, spotify:artist:0eVyjRhzZKke2KFYTcDkeu","Boldy James, The Alchemist","spotify:album:5leBUcbk6qAb5cDHYuVwBO","Super Tecmo Bo","spotify:artist:4fpwOzxFRMVGfd197dKIdY, spotify:artist:0eVyjRhzZKke2KFYTcDkeu","Boldy James, The Alchemist","2021-12-17","https://i.scdn.co/image/ab67616d0000b273a671697e72456d41a848175f","1","5","107253","https://p.scdn.co/mp3-preview/e5de2473e8dab3cf9be4270e07b16b0de565101d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USUYG1405034","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-09-16T01:00:07Z"
"spotify:track:3x9UBH1vVMNVLCPTx9duyZ","No Yeast (feat. Boldy James)","spotify:artist:6X8WdFjrNhXATMDSs26aCc, spotify:artist:0eVyjRhzZKke2KFYTcDkeu, spotify:artist:4fpwOzxFRMVGfd197dKIdY","Curren$y, The Alchemist, Boldy James","spotify:album:6nOgR17Z6SkfRQ0ygRogTU","Continuance","spotify:artist:6X8WdFjrNhXATMDSs26aCc, spotify:artist:0eVyjRhzZKke2KFYTcDkeu","Curren$y, The Alchemist","2022-02-18","https://i.scdn.co/image/ab67616d0000b273a007a5699edfbbe968677845","1","3","243840","https://p.scdn.co/mp3-preview/89eca52405579ceb571717ab9e0555e6f6baef42?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","USUYG1413277","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-09-16T01:00:07Z"
"spotify:track:2f36pRZBYcLOqEDEhqSnmI","Designer Drugs","spotify:artist:2RBojylM3CJMcaQzNoXOzB, spotify:artist:4fpwOzxFRMVGfd197dKIdY","Nicholas Craven, Boldy James","spotify:album:4jpTuerIpgU77hzRCfcXZj","Fair Exchange No Robbery","spotify:artist:2RBojylM3CJMcaQzNoXOzB, spotify:artist:4fpwOzxFRMVGfd197dKIdY","Nicholas Craven, Boldy James","2022-09-30","https://i.scdn.co/image/ab67616d0000b273519ddd92fb3b4e0707f299b5","1","7","211973","https://p.scdn.co/mp3-preview/718e8880d0dfcedf8aa1f6dc4db3f49b0d7d8554?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","TCAGL2265868","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-09-16T01:00:07Z"
"spotify:track:46DeAcIDA5eXPBOVIcFmPM","No Curse Lifted (rivers of love)","spotify:artist:1wlzPS1hSNrkriIIwLFTmU","MIKE","spotify:album:52743dknIjnsCqQrKSIX5r","Beware of the Monkey","spotify:artist:1wlzPS1hSNrkriIIwLFTmU","MIKE","2022-12-21","https://i.scdn.co/image/ab67616d0000b27375f91dca01460cfadf524814","1","5","109940","https://p.scdn.co/mp3-preview/abbdc03ab3b86517d23febffa8d51ee8349b9d1f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","QM24S2206759","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-09-16T01:00:07Z"
"spotify:track:2CjNQ2T7fSfp45CWb3dh85","Jaguar","spotify:artist:7BMccF0hQFBpP6417k1OtQ","Action Bronson","spotify:album:2rmPnKM3T64J7Xz5TEyR0c","Cocodrillo Turbo","spotify:artist:7BMccF0hQFBpP6417k1OtQ","Action Bronson","2022-04-29","https://i.scdn.co/image/ab67616d0000b2732a3e3c2cfad3f1f4e3ee0004","1","7","175306","","true","41","USC4R2211899","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-09-16T01:00:07Z"
"spotify:track:3v3gyQkwRQGwDUZ7V2q2lF","WHAT A DAY","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","spotify:album:1GG6U2SSJPHO6XsFiBzxYv","CALL ME IF YOU GET LOST: The Estate Sale","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2023-03-31","https://i.scdn.co/image/ab67616d0000b273aa95a399fd30fbb4f6f59fca","1","19","216884","https://p.scdn.co/mp3-preview/2b1da60440d20c3c553f1ff10a007cc59c67302d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","USQX92301935","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-09-16T01:00:07Z"
"spotify:track:6lmMjq57ysbPyknJZjKuWI","Houston Old Head","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","spotify:album:4l6EPpP9hjQrLb8qNB9eC5","LIVE.LOVE.A$AP","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","2011-10-31","https://i.scdn.co/image/ab67616d0000b273c8ced8a4d6b6b61eb592f3dd","1","10","258092","https://p.scdn.co/mp3-preview/ae098651c7bf96d63160cb95cd8192bc561774b1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","USRC12103093","spotify:user:4lx1knf7b4w9im6bkv8mwna3y","2023-09-16T01:00:07Z"
