"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2yGzZkY6OGXWgS5vpd5VuF","Control Me","spotify:artist:3VQDqjQ4wJyw8PzpGdlZpB","Colde","spotify:album:1H0pRXIPjc1ialln87CLRi","Control Me","spotify:artist:3VQDqjQ4wJyw8PzpGdlZpB","Colde","2019-09-05","https://i.scdn.co/image/ab67616d0000b27366712f8103e7b4650563b73a","1","1","206999","https://p.scdn.co/mp3-preview/2679dc928597062c1e7066360add16577790a47b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QM7281943091","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:78bSWIqoNPdJB8QpCVkv0K","Unfair","spotify:artist:3cjEqqelV9zb4BYE3qDQ4O","EXO","spotify:album:1eGKfrv3zUriBWbPOFKKxq","SING FOR YOU - Winter Special Album, 2015","spotify:artist:3cjEqqelV9zb4BYE3qDQ4O","EXO","2015-12-10","https://i.scdn.co/image/ab67616d0000b273ba97a28e1fc4602b1d96bdba","1","1","182321","https://p.scdn.co/mp3-preview/7371c831dbcf844e17f67a8895dd3b085af06ded?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","KRA301500661","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7pnBMz4MiFIwFXSa4nSJcJ","Love Like That","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","spotify:album:6oQOkflhTjqX5Igl8Lwqv4","Absence 'Side A'","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","2017-03-07","https://i.scdn.co/image/ab67616d0000b2732971e6b96551817a16508b06","1","1","214400","https://p.scdn.co/mp3-preview/80122b691c447b16ba9d46e818ff0d1912b0059a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRNAR1701459","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:23DHUWJ7iEieNPMPKvjzBV","Ohio Is For Lovers","spotify:artist:126FigDBtqwS2YsOYMTPQe","Hawthorne Heights","spotify:album:6ypfxw9fHuwow6dkcA4y1z","The Silence In Black And White (Re-Issue)","spotify:artist:126FigDBtqwS2YsOYMTPQe","Hawthorne Heights","2004-06-08","https://i.scdn.co/image/ab67616d0000b273b4b59e1dd1a9c0fa4dc27c61","1","8","244480","","false","64","USVIC0525008","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7LN1f9jAIu7yxBzsLMN7RB","넘어와 (Feat. 백예린)","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF, spotify:artist:6dhfy4ByARPJdPtMyrUYJK","DEAN, Yerin Baek","spotify:album:48ScAfcD1Dy3gMPhjhTzek","Limbo","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","DEAN","2017-02-17","https://i.scdn.co/image/ab67616d0000b2739a4616cc6ce6c1aa0c265d8d","1","2","266137","","false","47","KRUM71700061","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1OfD8j8vYuAhzB12BtR5xu","Crush - Reprise Version","spotify:artist:1dOMFM5wDNsENQQW0nl0K8","Urban Zakapa","spotify:album:6czXSOxLLaB5NowmABPTdl","[01]","spotify:artist:1dOMFM5wDNsENQQW0nl0K8","Urban Zakapa","2011-05-17","https://i.scdn.co/image/ab67616d0000b273551907171a49c2a7f428873f","1","4","247092","https://p.scdn.co/mp3-preview/254b9c943c41c4b8de4df2388d46127634df8741?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRA531134004","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3EtOdVTYHFgbi4HLElqg4S","떠나간다","spotify:artist:1zVCbVIEKtjg4tRWqwixoY","Hwaii","spotify:album:0VQvY3v7ib944X0d0yHVNd","티켓 두 장 주세요","spotify:artist:1zVCbVIEKtjg4tRWqwixoY","Hwaii","2011-08-17","https://i.scdn.co/image/ab67616d0000b273af91e5e1572c164e8696935d","1","8","213613","https://p.scdn.co/mp3-preview/234ffc7576db3bdd4ec52872720f4f2c47498ff6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","USA371553358","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0inDmDmSGkTRVqURPRqhVZ","BEAUTY","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","spotify:album:3DGVCqVjWMTUAdATGUoqYR","Absence 'Side D'","spotify:artist:0BpbTGO68X4wV2aLBzjnhL","LambC","2018-05-10","https://i.scdn.co/image/ab67616d0000b2734900a57b0c12a301829f6f42","1","1","197848","https://p.scdn.co/mp3-preview/d8190936e4319a125e2766832279a1e254b84aed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRNAR1806997","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4QCczE24wLpDmPJ3qwwEvC","Wonderless","spotify:artist:4iJLPqClelZOBCBifm8Fzv","Pierce The Veil","spotify:album:6LkthUHeWKSJsXhjs7SXFq","A Flair For The Dramatic","spotify:artist:4iJLPqClelZOBCBifm8Fzv","Pierce The Veil","2007","https://i.scdn.co/image/ab67616d0000b273d2d0137c32938ae8cb44e0ca","1","11","341053","https://p.scdn.co/mp3-preview/188f41f91823ff28cce7b95768daf31269c84859?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","US3X50713211","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:78rZYmaV2Tb2SOyroloZok","Coffee - Reprise Version","spotify:artist:1dOMFM5wDNsENQQW0nl0K8","Urban Zakapa","spotify:album:6czXSOxLLaB5NowmABPTdl","[01]","spotify:artist:1dOMFM5wDNsENQQW0nl0K8","Urban Zakapa","2011-05-17","https://i.scdn.co/image/ab67616d0000b273551907171a49c2a7f428873f","1","2","228910","https://p.scdn.co/mp3-preview/0b0a566a7d77f4b8c748992bdb5fc66cca0a8a90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","KRA531134002","spotify:user:","1970-01-01T00:00:00Z"
